,Kode,Nama,Jumlah,Harga,Total,Status Penjualan
109,KK0558,DJI SAM SOE  KRETEK  (PCS)  BKS 12'S,10,17000,170000,Sangat Laris
110,KK0114,ABC BATTERY BIRU R6 4'S  PCK,10,2500,25000,Sangat Laris
111,KK0177,LA LIGHT 16'S,2,23000,46000,Laris
112,KK0005,INDOMIE SOTO MIE 70g,30,3000,90000,Sangat Laris
113,KK0144,KAPAL API  SPECIAL PCK 165g,11,11500,126500,Sangat Laris
114,KK0184,DJARUM SUPER  FILTER MILD BLACK BKS 12'S,2,17000,34000,Laris
115,KK0183,DJARUM 76 KRETEK 12'S,16,14000,224000,Sangat Laris
116,KK0684,RAMBAK JANGAN PAK,1,17000,17000,Kurang Laris
117,KK0263,SALONPAS KOYO,3,7000,21000,Laris
118,KK0337,FORTUNE MINYAK GORENG 1L,26,17500,455000,Sangat Laris
119,KK1259,NABATI RICHEESE BLACK,3,2000,6000,Laris
120,KK1877,SASA SANTAN BUBUK 20G,7,2000,14000,Sangat Laris
121,KK0835,KRUPUK,44,2000,88000,Sangat Laris
122,KK0302,NABATI RICHOCO WAFER CHOCOLATE PCK 50g,6,2000,12000,Sangat Laris
123,KK1462,BONCABE LV 15 2.5G,43,500,21500,Sangat Laris
124,KK1755,GULA JAWA SETENGAH,3,6500,19500,Laris
125,KK0600,SPR PELL REFILL LMN 111mL,2,2000,4000,Laris
126,KK1208,SO KLIN SOFTERGENT PURPLE LAVDR 520G,1,9500,9500,Kurang Laris
127,KK1643,MAMA LIME 230ML,3,4000,12000,Laris
128,KK0198,BEAR BRAND SUSU ENCER STERIL  KLG 189mL,5,11000,55000,Sangat Laris
129,KK0716,MERRIES S11,2,17000,34000,Laris
130,KK1761,MASKER ORLEE EARLOOP,6,1000,6000,Sangat Laris
131,KK1880,SOKLIN SOFT ROSY PINK 490G,2,9500,19000,Laris
132,KK0077,DOWNY SOFT FLORAL PINK SCT 11mL,16,500,8000,Sangat Laris
133,KK1871,SERUPUT KOPI SUSU SI MANIS AREN 200ML,2,3000,6000,Laris
134,KK0534,SUSU JAHE SIDOMUNCUL,13,1500,19500,Sangat Laris
135,KK1896,NISSIN RAMEN YAKISOBA RASA TAKOYAKI 104G,3,6500,19500,Laris
136,KK1751,GO CHOCOLATOS,6,500,3000,Sangat Laris
137,KK0872,FRUIT TEA APPLE 350ML,2,3500,7000,Laris
138,KK1163,AICE 2 COLOR STICK,14,2000,28000,Sangat Laris
139,KK0394,KOBE BON CABE LV 15,5,1000,5000,Sangat Laris
140,KK0254,CHOCOLATAOS DRINK,6,2000,12000,Sangat Laris
141,KK0406,ROMA ARDEN CHOCO SPLENDID,3,2000,6000,Laris
142,KK0018,INDOFOOD SAMBAL PEDAS BTL 135/140mL,2,5500,11000,Laris
143,KK0136,ABC SUSU,18,1500,27000,Sangat Laris
144,KK0206,INDOMILK SUSU CAIR STRAWBERRY BTL 190mL,2,4000,8000,Laris
145,KK1866,OISHI PANCHOS SP160GR,2,11000,22000,Laris
146,KK0100,MARLBORO LIGHT 20'S,1,31500,31500,Kurang Laris
147,KK1311,DANCOW FORTIGRO COKELAT 39G,6,3500,21000,Sangat Laris
148,KK1579,EMERON BLACK SHINE SCT,1,5000,5000,Kurang Laris
149,KK0340,DETTOL LASTING FRESH 100G,5,5500,27500,Sangat Laris
150,KK0559,SAMPOERNA MILD 16'S,35,24500,857500,Sangat Laris
151,KK0400,ROMA MALKIST ABON PCK 27g,2,1000,2000,Laris
152,KK0878,MASKER EARLOOP,1,1000,1000,Kurang Laris
153,KK1791,TEH JAWA CELUP 25S,2,5500,11000,Laris
154,KK1703,HATARI CHOCOLATE CREAM 200G,2,5000,10000,Laris
155,KK0396,ROMA BISCUIT (NEW) KELAPA PCK 300g,8,7500,60000,Sangat Laris
156,KK1068,FULLO 8G,6,500,3000,Sangat Laris
157,KK0751,MERRIES L8,9,16000,144000,Sangat Laris
158,KK0995,KEJU CAKE,3,2000,6000,Laris
159,KK1443,DK KACANG POLONG PEAS,1,1000,1000,Kurang Laris
160,KK0911,TOP  GULA AREN,43,1000,43000,Sangat Laris
161,KK1140,RAMBAK,11,5000,55000,Sangat Laris
162,KK0174,VIP  FILTER BKS 12'S,3,11500,34500,Laris
163,KK1635,SOSIS CHAMP AYAM,4,1000,4000,Sangat Laris
164,KK1870,SERUPUT KOPI SUSU TULEN 200ML,1,3000,3000,Kurang Laris
165,KK0291,ROSE BRAND TP BERAS 500g,2,6500,13000,Laris
166,KK1043,MI SOHUN KACA,2,500,1000,Laris
167,KK0455,LEMONILO MIE GORENG 77g,4,6000,24000,Sangat Laris
168,KK0434,MENARA  FILTER BOLD BKS 12'S,2,11500,23000,Laris
169,KK0057,KOREK GAS TOKAI,27,2000,54000,Sangat Laris
170,KK0657,ANDALAN KRETEK 16,56,9000,504000,Sangat Laris
171,KK1878,TEH TONG TJI ORI SACET,5,1500,7500,Sangat Laris
172,KK0025,TESSA 50 'S,2,2500,5000,Laris
173,KK0543,GG SURYA PRO MILD 16's,24,21500,516000,Sangat Laris
174,KK0481,SEDAAP MIE SOTO PCK 75g,42,2500,105000,Sangat Laris
175,KK1528,SEDAAP BASO SPESIAL,1,2500,2500,Kurang Laris
176,KK1799,SEDAAP AYAM SPESIAL,2,2500,5000,Laris
177,KK1435,INDOMIE GORENG ACEH,3,3000,9000,Laris
178,KK1168,CLAS MILD 16,10,23500,235000,Sangat Laris
179,KK1333,AICE FREZY CHOCO,34,2000,68000,Sangat Laris
180,KK0659,TIC TIC CRNCHY STK 22G,5,2000,10000,Sangat Laris
181,KK0858,FRUIT TEA PCH APPLE,22,2000,44000,Sangat Laris
182,KK0633,LAYS NORI SEAWED 24G,1,2000,2000,Kurang Laris
183,KK0531,S/M JAMU TOLAK ANGIN CAIR + MADU  SCT 15mL,10,3000,30000,Sangat Laris
184,KK0687,MARLBORO FILTER BLACK 20',1,29000,29000,Kurang Laris
185,KK1153,AICE STRAWBERY CRISPY,3,3000,9000,Laris
186,KK0331,SEGITIGA BIRU TERIGU TRANSPARAN  PCK 1000g,2,9500,19000,Laris
187,KK1357,TEH KOTAK BLACKCURRANT 200ML,3,3500,10500,Laris
188,KK1084,TEH SOSRO CELUP 25',2,5000,10000,Laris
189,KK0032,MOTO MOBIL 250G,5,9000,45000,Sangat Laris
190,KK1680,MODERN CUTTON BUD KECIL,1,3500,3500,Kurang Laris
191,KK0644,ULTRAMILK STRAWBERRY 125ML,4,3000,12000,Sangat Laris
192,KK0903,RAPIAH 2000,8,2000,16000,Sangat Laris
193,KK0130,DELFI CHOCOLATE WAFER TOP  PCK 16/13g,10,1000,10000,Sangat Laris
194,KK1530,SEDAAP AYAM BAWANG TELUR,5,2500,12500,Sangat Laris
195,KK0361,TEH SOKLAT BSR,13,29500,383500,Sangat Laris
196,KK1744,ICHI OCHA TEH JASMINES 350ML,2,3000,6000,Laris
197,KK1679,TOP + GULA,12,1000,12000,Sangat Laris
198,KK1665,TISU JOLLY 250S,5,8000,40000,Sangat Laris
199,KK0392,MIXAGRIP FLU (4)  STR,2,2500,5000,Laris
200,KK1720,NUVO BAR RELAX&PROTECT 76G,2,2500,5000,Laris
201,KK1890,TIC TAC RASA AYAM BAWANG 90G,1,6000,6000,Kurang Laris
202,KK0303,NEXTAR CHOCO BROWNIES  PCK 42g,11,2000,22000,Sangat Laris
203,KK1827,GOODTIME CLASSIC 72G,3,6500,19500,Laris
204,KK1822,GITA SNACK BALL KEJU,1,10000,10000,Kurang Laris
205,KK1554,ROMA MALKIS KELAPA KOPYOR 252G,4,6500,26000,Sangat Laris
206,KK0484,EKO MIE MI KERING SCT 120g,4,2000,8000,Sangat Laris
207,KK1789,SUKSES ISI 2 GORENG AYAM KECAP,1,3500,3500,Kurang Laris
208,KK0148,KAPAL API SUSU 31GR,7,1500,10500,Sangat Laris
209,KK0107,AQUA AIR MINERAL  BTL 1500mL,7,5000,35000,Sangat Laris
210,KK0329,CIMORY STROWBERRY 125ML,4,2500,10000,Sangat Laris
211,KK0105,BENG-BENG WAFER CHOCOLATE PCK 20g,9,1500,13500,Sangat Laris
212,KK0309,C/LANG MINYAK KAYU PUTIH BTL 15mL,4,6000,24000,Sangat Laris
213,KK1340,TALITA ROTI GAPLEK,12,5000,60000,Sangat Laris
214,KK0544,GG  KRETEK MERAH 12'S,3,14000,42000,Laris
215,KK1152,AICE COFFE CRISPY,5,3000,15000,Sangat Laris
216,KK1160,AICE COKLAT CUP SUNDAE,11,5000,55000,Sangat Laris
217,KK0646,HILO CHOCLATE 14GR,4,1500,6000,Sangat Laris
218,KK1249,NEXTAR STRAWBERRY,17,2000,34000,Sangat Laris
219,KK0305,NEXTAR NASTAR COOKIES PINEAPPLE PCK 42g,2,1000,2000,Laris
220,KK1707,GUDANG BARU ORIGIN 12,2,13000,26000,Laris
221,KK0714,BENDERA FF SKM GOLD KALENG 370G,3,14500,43500,Laris
222,KK1491,MADU TJ  SCT,1,1000,1000,Kurang Laris
223,KK0371,S/T SUKI STICK JEPANG,17,1000,17000,Sangat Laris
224,KK1529,SEDAAP WHITE CURRY,4,2500,10000,Sangat Laris
225,KK0021,CHITATO SAPI PGG 15g,7,2000,14000,Sangat Laris
226,KK0539,GG SURYA 16'S,11,25000,275000,Sangat Laris
227,KK0489,MILKU SUSU UHT STROBERI BTL 200mL,7,3000,21000,Sangat Laris
228,KK0175,DJARUM SUPER 12'S,8,18500,148000,Sangat Laris
